[(TES, FNC, GEN, TL), (G2, JDG, FLY, PSG), (DWG, SN, MCX, MAD), (TSM, DRX, RGE, LGD)] - 480
[(TES, FNC, GEN, PSG), (G2, JDG, MCX, TL), (DWG, SN, FLY, MAD), (TSM, DRX, RGE, LGD)] - 480
[(TES, FNC, FLY, PSG), (G2, JDG, GEN, TL), (DWG, SN, MCX, MAD), (TSM, DRX, RGE, LGD)] - 960
[(TES, FNC, MCX, TL), (G2, JDG, GEN, PSG), (DWG, SN, FLY, MAD), (TSM, DRX, RGE, LGD)] - 960
[(TES, DRX, RGE, TL), (G2, JDG, GEN, PSG), (DWG, SN, FLY, MAD), (TSM, FNC, MCX, LGD)] - 180
[(TES, DRX, RGE, PSG), (G2, JDG, GEN, TL), (DWG, SN, FLY, MAD), (TSM, FNC, MCX, LGD)] - 180
[(TES, DRX, RGE, TL), (G2, JDG, FLY, PSG), (DWG, SN, MCX, MAD), (TSM, FNC, GEN, LGD)] - 144
[(TES, DRX, RGE, PSG), (G2, JDG, MCX, TL), (DWG, SN, FLY, MAD), (TSM, FNC, GEN, LGD)] - 144
[(TES, DRX, FLY, MAD), (G2, JDG, GEN, TL), (DWG, SN, RGE, PSG), (TSM, FNC, MCX, LGD)] - 216
[(TES, DRX, FLY, MAD), (G2, JDG, GEN, PSG), (DWG, SN, RGE, TL), (TSM, FNC, MCX, LGD)] - 216
[(TES, DRX, FLY, MAD), (G2, JDG, MCX, TL), (DWG, SN, RGE, PSG), (TSM, FNC, GEN, LGD)] - 216
[(TES, DRX, MCX, MAD), (G2, JDG, FLY, PSG), (DWG, SN, RGE, TL), (TSM, FNC, GEN, LGD)] - 432
[(TES, DRX, RGE, TL), (G2, JDG, GEN, PSG), (DWG, FNC, FLY, LGD), (TSM, SN, MCX, MAD)] - 144
[(TES, DRX, RGE, PSG), (G2, JDG, GEN, TL), (DWG, FNC, FLY, LGD), (TSM, SN, MCX, MAD)] - 144
[(TES, DRX, RGE, TL), (G2, JDG, FLY, PSG), (DWG, FNC, MCX, LGD), (TSM, SN, GEN, MAD)] - 144
[(TES, DRX, RGE, PSG), (G2, JDG, MCX, TL), (DWG, FNC, FLY, LGD), (TSM, SN, GEN, MAD)] - 144
[(TES, DRX, FLY, MAD), (G2, JDG, GEN, TL), (DWG, FNC, MCX, LGD), (TSM, SN, RGE, PSG)] - 576
[(TES, DRX, MCX, MAD), (G2, JDG, GEN, TL), (DWG, FNC, FLY, LGD), (TSM, SN, RGE, PSG)] - 576
[(TES, FNC, GEN, TL), (G2, SN, FLY, PSG), (DWG, JDG, MCX, MAD), (TSM, DRX, RGE, LGD)] - 480
[(TES, FNC, GEN, PSG), (G2, SN, MCX, TL), (DWG, JDG, FLY, MAD), (TSM, DRX, RGE, LGD)] - 480
[(TES, FNC, FLY, PSG), (G2, SN, GEN, TL), (DWG, JDG, MCX, MAD), (TSM, DRX, RGE, LGD)] - 960
[(TES, FNC, MCX, TL), (G2, SN, GEN, PSG), (DWG, JDG, FLY, MAD), (TSM, DRX, RGE, LGD)] - 960
[(TES, DRX, RGE, TL), (G2, SN, GEN, PSG), (DWG, JDG, FLY, MAD), (TSM, FNC, MCX, LGD)] - 180
[(TES, DRX, RGE, PSG), (G2, SN, GEN, TL), (DWG, JDG, FLY, MAD), (TSM, FNC, MCX, LGD)] - 180
[(TES, DRX, RGE, TL), (G2, SN, FLY, PSG), (DWG, JDG, MCX, MAD), (TSM, FNC, GEN, LGD)] - 144
[(TES, DRX, RGE, PSG), (G2, SN, MCX, TL), (DWG, JDG, FLY, MAD), (TSM, FNC, GEN, LGD)] - 144
